doc_uuid,sentence_id,sentence_text,actor_name,label
03faac8c-28c9-486b-919e-96d80adacd83,1,"Presidente, Membros do Governo, e Deputados, o PART (Programa de Apoio à Redução Tarifária dos Transportes Públicos) foi e é um programa estrutural que tem e 25 DE NOVEMBRO DE 2020 teve um impacto bastante positivo nomeadamente porque a redução tarifária potenciou indiscutivelmente a utilização do transporte público, retirando carros das nossas cidades, e ajudou também ao rendimento das famílias.",Isabel Pires,0
53b74d09-213d-4af3-a0fb-8806f3518e6f,6,"Em segundo lugar, porque a grande maioria está nas famílias.",Maria José Nogueira Pinto,0
0ff13d39-aa99-411d-8e42-9f2517cc1097,23,"É necessário valorizar social e profissionalmente os profissionais de saúde, assegurando-lhes condições de trabalho e de formação, vínculos de carreira e justa remuneração.",João Dias,1
0ff13d39-aa99-411d-8e42-9f2517cc1097,24,"É necessário avançar e alargar a todo o território nacional as respostas nas áreas da saúde oral e visual, bem como dotar os cuidados de saúde primários de equipamentos para a realização de meios complementares",João Dias,1
0ff13d39-aa99-411d-8e42-9f2517cc1097,25,"É necessário avançar de forma a que, nos cuidados paliativos, se consiga uma referenciação mais célere, com particular atenção à implementação das equipas comunitárias de suporte em cuidados paliativos, para que estas atendam os doentes no domicílio.",João Dias,1
00084bbf-3bce-4e9b-ac91-15fcbc71bdde,3,"Desculpem, mas os senhores não vergam, não aprendem.",Carlos Peixoto,0
3fd2f2fd-749e-477b-a884-7b6189ff6cb2,5,"A nossa prioridade é o relançamento da economia.",Cecília Meireles,1
107e4c64-6805-42a8-b179-26aac7d2eaa3,170,"É exatamente por isso que trabalhar na empregabilidade dos portugueses, termos medidas para fomentar o maior crescimento da economia, e, nesse sentido, termos também uma recuperação do emprego é a nossa prioridade e é algo em que temos de concentrar os nossos esforços.",Pedro Mota Soares,1
08b9f4ae-6e07-4259-8969-461aa5a167d9,14,"O que nos importa, mais do que jogos florais legislativos à volta de conselhos municipais — e é bom lembrar aqui que o conselho municipal, enquanto órgão de consulta do município, chegou a ter honras de texto constitucional até à revisão de 1989 —, a nossa prioridade é o combate à pobreza e à exclusão dos cidadãos seniores.",Santinho Pacheco,1
554d0e75-f4ac-4ae5-9a4a-3dcc2095c85a,60,"Deputado António Topa e Deputado Heitor de Sousa, relativamente ao equilíbrio entre investimento na ferrovia e na rodovia, com certeza que a nossa prioridade estratégica neste mandato — dissemo-lo desde o primeiro dia — foi para o investimento ferroviário: executar o Ferrovia 2020, o maior programa de investimento ferroviário de há décadas em Portugal, mas não deixámos de fazer também alguns investimentos concretos, que hoje já aqui foram referidos, no acesso às zonas de localização empresarial.",Pedro Marques,1
05ad7751-407f-45b8-bf72-9fa7e2475351,120,"As 69 candidaturas a USF prevê-se que possam vir a abranger mais 660 000 cidadãos com médicos de família, sendo essa a nossa prioridade.",Paulo Macedo,1
05c12259-b96e-4494-8f77-5cd79e3adb09,66,"A nossa prioridade para os próximos meses e até ao próximo ano de 2017, quando comemorarmos 50 anos da criação da JNICT (Junta Nacional de Investigação Científica e Tecnológica) e 20 anos da criação da FCT, é termos conseguido instituir um enquadramento indispensável ao reforço da autonomia das instituições académicas e científicas e garantido um sistema de avaliação baseado em boas práticas e reconhecido pela comunidade científica.",Manuel Heitor,1
15ac682d-e32a-4bff-bd56-41201491c0e7,47,"Essa é a nossa prioridade simultaneamente com o reforço do emprego científico.",Manuel Heitor,1
0e50dcb6-04ef-468c-a5f9-0e819645943f,86,"É na economia que devemos colocar toda a nossa prioridade e, por isso, a receita de iniciar todo este processo de ajustamento, dando primeiro o enfoque às finanças e só depois, mais tarde, tratar da economia, foi completamente errada, como, aliás, tivemos oportunidade de dizer desde o início.",António José Seguro,1
428fd988-71f7-4b05-a749-1f5d8fdf1e92,2,"As micro, pequenas e médias empresas, em Portugal, representam cerca de 99,9% do tecido empresarial, o que significa que as medidas de apoio a estas empresas têm de ser a nossa prioridade nos apoios à economia.",Cristina Rodrigues,1
